Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,host_disease,Host,Instrument,Isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Strain
SRR12513763,AMPLICON,282,12213076,PRJNA639066,SAMN15900706,Pathogen.cl,6450409,TX-SARS-COV-2,Texas Department of State Health Services,3/17/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9004410,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0182,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,8/24/2020 17:00,TX-DSHS-0182,SRP267052,SARS-CoV-2/USA/TX-DSHS-0182/2020
SRR12513764,AMPLICON,285,12465441,PRJNA639066,SAMN15900705,Pathogen.cl,6918989,TX-SARS-COV-2,Texas Department of State Health Services,3/16/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9004409,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0180,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,8/24/2020 17:00,TX-DSHS-0180,SRP267052,SARS-CoV-2/USA/TX-DSHS-0180/2020
SRR12513765,AMPLICON,282,12279560,PRJNA639066,SAMN15900704,Pathogen.cl,6684181,TX-SARS-COV-2,Texas Department of State Health Services,3/15/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9004408,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0179,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,8/24/2020 17:00,TX-DSHS-0179,SRP267052,SARS-CoV-2/USA/TX-DSHS-0179/2020
SRR12513766,AMPLICON,284,15121218,PRJNA639066,SAMN15900703,Pathogen.cl,7930126,TX-SARS-COV-2,Texas Department of State Health Services,3/13/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9004407,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,throat swab,missing,TX-DSHS-0178,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,8/24/2020 17:00,TX-DSHS-0178,SRP267052,SARS-CoV-2/USA/TX-DSHS-0178/2020
SRR12513767,AMPLICON,280,12821005,PRJNA639066,SAMN15900702,Pathogen.cl,7091028,TX-SARS-COV-2,Texas Department of State Health Services,3/13/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9004406,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0177,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,8/24/2020 17:00,TX-DSHS-0177,SRP267052,SARS-CoV-2/USA/TX-DSHS-0177/2020
SRR12513768,AMPLICON,282,11513381,PRJNA639066,SAMN15900701,Pathogen.cl,6187814,TX-SARS-COV-2,Texas Department of State Health Services,3/12/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9004405,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,throat swab,missing,TX-DSHS-0176,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,8/24/2020 17:00,TX-DSHS-0176,SRP267052,SARS-CoV-2/USA/TX-DSHS-0176/2020
SRR12513769,AMPLICON,285,7679631,PRJNA639066,SAMN15900700,Pathogen.cl,4240137,TX-SARS-COV-2,Texas Department of State Health Services,3/12/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9004404,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0175,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,8/24/2020 17:00,TX-DSHS-0175,SRP267052,SARS-CoV-2/USA/TX-DSHS-0175/2020
SRR12513770,AMPLICON,279,11571667,PRJNA639066,SAMN15900717,Pathogen.cl,6369852,TX-SARS-COV-2,Texas Department of State Health Services,5/29/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9004403,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0198,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,8/24/2020 17:00,TX-DSHS-0198,SRP267052,SARS-CoV-2/USA/TX-DSHS-0198/2020
SRR12513771,AMPLICON,283,10628188,PRJNA639066,SAMN15900699,Pathogen.cl,5838339,TX-SARS-COV-2,Texas Department of State Health Services,3/11/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9004402,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,throat swab,missing,TX-DSHS-0174,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,8/24/2020 17:00,TX-DSHS-0174,SRP267052,SARS-CoV-2/USA/TX-DSHS-0174/2020
SRR12513772,AMPLICON,279,12916051,PRJNA639066,SAMN15900716,Pathogen.cl,7070190,TX-SARS-COV-2,Texas Department of State Health Services,5/12/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9004401,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0195,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,8/24/2020 17:00,TX-DSHS-0195,SRP267052,SARS-CoV-2/USA/TX-DSHS-0195/2020
