State,Density_p_mi2,Pop_2020,LandArea_mi2
CA,256.3728,39937500,155779
TX,112.8204,29472300,261232
FL,410.1259,21993000,53625
NY,412.5218,19440500,47126
PA,286.5454,12820900,44743
IL,228.0246,12659700,55519
OH,287.504,11747700,40861
GA,186.6726,10736100,57513
NC,218.271,10611900,48618
MI,177.665,10045000,56539
NJ,1215.1985,8936570,7354
VA,218.4404,8626210,39490
WA,117.3273,7797100,66456
AZ,64.9549,7378490,113594
MA,894.4359,6976600,7800
TN,167.2749,6897580,41235
IN,188.2809,6745350,35826
MO,89.7453,6169270,68742
MD,626.6735,6083120,9707
WI,108.0496,5851750,54158
CO,56.4012,5845530,103642
MN,71.5922,5700670,79627
SC,173.3176,5210100,30061
AL,96.9221,4908620,50645
LA,107.5174,4645180,43204
KY,113.9566,4499690,39486
OR,44.8086,4301090,95988
OK,57.6546,3954820,68595
CT,735.8695,3563080,4842
UT,39.943,3282120,82170
IA,56.9284,3179850,55857
NV,28.5993,3139660,109781
AR,58.403,3039000,52035
MS,63.7056,2989260,46923
KS,35.5968,2910360,81759
NM,17.285,2096640,121298
NE,25.4161,1952570,76824
ID,22.097,1826160,82643
WV,73.9691,1778070,24038
HI,219.9424,1412690,6423
NH,153.161,1371250,8953
ME,43.6336,1345790,30843
MT,7.4668,1086760,145546
RI,1021.4313,1056160,1034
DE,504.3073,982895,1949
SD,11.9116,903027,75811
ND,11.0393,761723,69001
AK,1.2863,734002,570641
DC,11814.541,720687,61
VT,68.1416,628061,9217
WY,5.84,567025,97093
