"gene_name" "start" "end" "length"
"1" "S" 21563 25384 3821
"2" "ORF3a" 25393 26220 827
"3" "E" 26245 26472 227
"4" "M" 26523 27191 668
"5" "ORF6" 27202 27387 185
"6" "ORF7a" 27394 27759 365
"7" "ORF7b" 27756 27887 131
"8" "ORF8" 27894 28259 365
"9" "N" 28274 29533 1259
"10" "ORF10" 29558 29674 116
